1,android/support/v4/app android/support/v4/content android/support/v4/graphics/drawable android/support/v4/internal/view android/support/v4/media android/support/v4/os android/support/v4/util android/support/v4/view android/support/v4/widget
2,com/google/gson
3,it/andreascarpino/forvodroid it/andreascarpino/util
4,org/apache/commons/codec
5,ru/o2genum/forvo
6,android/support/v4/accessibilityservice
7,android/support/v4/database
8,android/support/v4/hardware/display
9,android/support/v4/net
10,android/support/v4/print
11,android/support/v4/text
